hemi	network	ROI	network_group
LH	VisCent	ExStr	Vis
LH	VisCent	ExStr	Vis
LH	VisCent	ExStr	Vis
LH	VisCent	ExStr	Vis
LH	VisCent	ExStr	Vis
LH	VisCent	ExStr	Vis
LH	VisCent	Striate	Vis
LH	VisCent	ExStr	Vis
LH	VisCent	ExStr	Vis
LH	VisCent	ExStr	Vis
LH	VisCent	ExStr	Vis
LH	VisCent	ExStr	Vis
LH	VisPeri	ExStrInf	Vis
LH	VisPeri	ExStrInf	Vis
LH	VisPeri	ExStrInf	Vis
LH	VisPeri	ExStrInf	Vis
LH	VisPeri	ExStrInf	Vis
LH	VisPeri	StriCal	Vis
LH	VisPeri	StriCal	Vis
LH	VisPeri	ExStrSup	Vis
LH	VisPeri	ExStrSup	Vis
LH	VisPeri	ExStrSup	Vis
LH	VisPeri	ExStrSup	Vis
LH	VisPeri	ExStrSup	Vis
LH	SomMotA		SomMot
LH	SomMotA		SomMot
LH	SomMotA		SomMot
LH	SomMotA		SomMot
LH	SomMotA		SomMot
LH	SomMotA		SomMot
LH	SomMotA		SomMot
LH	SomMotA		SomMot
LH	SomMotA		SomMot
LH	SomMotA		SomMot
LH	SomMotA		SomMot
LH	SomMotA		SomMot
LH	SomMotA		SomMot
LH	SomMotA		SomMot
LH	SomMotA		SomMot
LH	SomMotA		SomMot
LH	SomMotA		SomMot
LH	SomMotA		SomMot
LH	SomMotA		SomMot
LH	SomMotB	Aud	SomMot
LH	SomMotB	Aud	SomMot
LH	SomMotB	Ins	SomMot
LH	SomMotB	S2	SomMot
LH	SomMotB	S2	SomMot
LH	SomMotB	Aud	SomMot
LH	SomMotB	Aud	SomMot
LH	SomMotB	S2	SomMot
LH	SomMotB	S2	SomMot
LH	SomMotB	S2	SomMot
LH	SomMotB	S2	SomMot
LH	SomMotB	Cent	SomMot
LH	SomMotB	Cent	SomMot
LH	SomMotB	Cent	SomMot
LH	SomMotB	Cent	SomMot
LH	SomMotB	Cent	SomMot
LH	DorsAttnA	TempOcc	DorsAttn
LH	DorsAttnA	TempOcc	DorsAttn
LH	DorsAttnA	TempOcc	DorsAttn
LH	DorsAttnA	TempOcc	DorsAttn
LH	DorsAttnA	ParOcc	DorsAttn
LH	DorsAttnA	ParOcc	DorsAttn
LH	DorsAttnA	SPL	DorsAttn
LH	DorsAttnA	SPL	DorsAttn
LH	DorsAttnA	SPL	DorsAttn
LH	DorsAttnA	SPL	DorsAttn
LH	DorsAttnA	SPL	DorsAttn
LH	DorsAttnA	SPL	DorsAttn
LH	DorsAttnA	SPL	DorsAttn
LH	DorsAttnB	PostC	DorsAttn
LH	DorsAttnB	PostC	DorsAttn
LH	DorsAttnB	PostC	DorsAttn
LH	DorsAttnB	PostC	DorsAttn
LH	DorsAttnB	PostC	DorsAttn
LH	DorsAttnB	PostC	DorsAttn
LH	DorsAttnB	PostC	DorsAttn
LH	DorsAttnB	PostC	DorsAttn
LH	DorsAttnB	PostC	DorsAttn
LH	DorsAttnB	FEF	DorsAttn
LH	DorsAttnB	FEF	DorsAttn
LH	DorsAttnB	FEF	DorsAttn
LH	DorsAttnB	PrCv	DorsAttn
LH	SalVentAttnA	ParOper	SalVentAttn
LH	SalVentAttnA	ParOper	SalVentAttn
LH	SalVentAttnA	ParOper	SalVentAttn
LH	SalVentAttnA	Ins	SalVentAttn
LH	SalVentAttnA	Ins	SalVentAttn
LH	SalVentAttnA	Ins	SalVentAttn
LH	SalVentAttnA	Ins	SalVentAttn
LH	SalVentAttnA	FrOper	SalVentAttn
LH	SalVentAttnA	FrOper	SalVentAttn
LH	SalVentAttnA	ParMed	SalVentAttn
LH	SalVentAttnA	ParMed	SalVentAttn
LH	SalVentAttnA	ParMed	SalVentAttn
LH	SalVentAttnA	FrMed	SalVentAttn
LH	SalVentAttnA	FrMed	SalVentAttn
LH	SalVentAttnA	FrMed	SalVentAttn
LH	SalVentAttnB	PFCl	SalVentAttn
LH	SalVentAttnB	PFCl	SalVentAttn
LH	SalVentAttnB	PFCl	SalVentAttn
LH	SalVentAttnB	Ins	SalVentAttn
LH	SalVentAttnB	Ins	SalVentAttn
LH	SalVentAttnB	Ins	SalVentAttn
LH	SalVentAttnB	OFC	SalVentAttn
LH	SalVentAttnB	PFCmp	SalVentAttn
LH	LimbicB	OFC	Limbic
LH	LimbicB	OFC	Limbic
LH	LimbicB	OFC	Limbic
LH	LimbicB	OFC	Limbic
LH	LimbicB	OFC	Limbic
LH	LimbicA	TempPole	Limbic
LH	LimbicA	TempPole	Limbic
LH	LimbicA	TempPole	Limbic
LH	LimbicA	TempPole	Limbic
LH	LimbicA	TempPole	Limbic
LH	LimbicA	TempPole	Limbic
LH	LimbicA	TempPole	Limbic
LH	ContA	Temp	Cont
LH	ContA	IPS	Cont
LH	ContA	IPS	Cont
LH	ContA	IPS	Cont
LH	ContA	IPS	Cont
LH	ContA	IPS	Cont
LH	ContA	PFCd	Cont
LH	ContA	PFClv	Cont
LH	ContA	PFClv	Cont
LH	ContA	PFCl	Cont
LH	ContA	PFCl	Cont
LH	ContA	PFCl	Cont
LH	ContA	Cingm	Cont
LH	ContB	Temp	Cont
LH	ContB	Temp	Cont
LH	ContB	IPL	Cont
LH	ContB	IPL	Cont
LH	ContB	IPL	Cont
LH	ContB	PFCd	Cont
LH	ContB	PFClv	Cont
LH	ContB	PFClv	Cont
LH	ContB	PFClv	Cont
